KOTAKBANK,1847.6,1733.7,1779.2,1807.35,1830.1,1852.85,1885.24,~~~*~~~,1972,2045.65,1805,1833.67,1851.41,1865.75,1880.09,1900.5,~~~*~~~,1955.17,2001.59
L&TFH,170.9,139,145.42,149.39,152.6,155.81,160.38,~~~*~~~,172.62,183.01,146.25,150.96,153.87,156.22,158.58,161.93,~~~*~~~,170.91,178.53
LALPATHLAB,2597.6,~~~*~~~,2522.2,2569,2606.82,2644.65,2698.5,2767.1,2842.75,2965.2,~~~*~~~,2496.53,2527.46,2552.45,2577.44,2613.02,2658.35,2708.33,2789.24
LAURUSLABS,427.3,366.05,383.21,393.82,402.4,410.98,423.19,~~~*~~~,455.91,483.68,380,393.86,402.44,409.38,416.31,426.18,~~~*~~~,452.62,475.06
LICHSGFIN,574.8,452.1,473.91,487.4,498.3,509.2,524.73,544.5,566.31,601.6,505.05,513.77,519.16,523.52,527.89,534.09,542,550.72,564.84
LT,3521.9,3031.05,3155.87,3233.09,3295.5,3357.91,3446.77,~~~*~~~,3684.77,3886.81,3333,3386.56,3419.69,3446.48,3473.26,3511.38,~~~*~~~,3613.51,3700.21
LTIM,5947.65,5292.7,5543.64,5698.88,5824.35,5949.82,6128.45,~~~*~~~,6606.94,7013.12,5936,6035.12,6096.44,6146,6195.56,6266.12,~~~*~~~,6455.12,6615.56
LTTS,5217.7,4283.05,4538.86,4697.12,4825.02,4952.93,5135.03,~~~*~~~,5622.81,6036.88,4951,5049.18,5109.91,5159,5208.09,5277.98,~~~*~~~,5465.18,5624.09
LUPIN,1389.45,1168.75,1210.78,1236.78,1257.8,1278.82,1308.74,~~~*~~~,1388.88,1456.92,1200.15,1234.77,1256.19,1273.5,1290.81,1315.46,~~~*~~~,1381.47,1437.51
M&M,1642,1533.55,1586.52,1619.29,1645.78,1672.26,1709.97,~~~*~~~,1810.97,1896.71,1620.4,1652.87,1672.96,1689.2,1705.44,1728.55,~~~*~~~,1790.47,1843.04
MANAPPURAM,175.75,147.15,154.32,158.76,162.35,165.94,171.04,~~~*~~~,184.72,196.34,158.25,162.8,165.62,167.9,170.18,173.42,~~~*~~~,182.1,189.48
MARICO,546,516.05,524.97,530.49,534.95,539.41,545.76,~~~*~~~,562.77,577.21,520.85,528.64,533.46,537.35,541.24,546.79,~~~*~~~,561.64,574.24
MARUTI,10017,~~~*~~~,10092.26,10252.9,10382.72,10512.55,10697.4,10932.85,11192.51,11612.8,~~~*~~~,9984.62,10078.67,10154.67,10230.68,10338.9,10476.75,10628.77,10874.83
MCDOWELL-N,1101.05,1027,1049.42,1063.29,1074.5,1085.71,1101.67,~~~*~~~,1144.42,1180.71,1047.55,1065.12,1075.99,1084.78,1093.56,1106.07,~~~*~~~,1139.57,1168.01
MCX,3144.45,2725.2,2871.24,2961.58,3034.6,3107.62,3211.58,3344,3490.04,3726.42,3059.25,3125.5,3166.48,3199.6,3232.72,3279.88,3339.95,3406.2,3513.42
METROPOLIS,1674.45,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~,~~~*~~~
MFSL,948.15,910.4,947.48,970.41,988.95,1007.49,1033.88,1067.5,1104.58,1164.59,921.4,946.84,962.58,975.3,988.02,1006.13,1029.2,1054.64,1095.82
MGL,1238.1,1017.55,1068.02,1099.24,1124.47,1149.71,1185.64,~~~*~~~,1281.87,1363.56,1136,1158.51,1172.44,1183.7,1194.96,1210.98,~~~*~~~,1253.91,1290.36
MOTHERSON,104.05,86.8,90.59,92.93,94.82,96.72,99.42,~~~*~~~,106.64,112.77,90.2,93.19,95.03,96.52,98.02,100.14,~~~*~~~,105.84,110.67
MPHASIS,2637.55,2210.05,2346.56,2431.02,2499.28,2567.53,2664.71,~~~*~~~,2925.01,3145.98,2567.95,2620,2652.2,2678.22,2704.25,2741.3,~~~*~~~,2840.55,2924.8
MRF,132701.25,107812.6,113143.07,116440.74,119105.98,121771.21,125565.79,~~~*~~~,135729.82,144357.96,115500.05,119016.28,121191.58,122949.7,124707.82,127210.9,~~~*~~~,133915.58,139607.12
MUTHOOTFIN,1499.5,1290,1341.44,1373.26,1398.98,1424.69,1461.31,1507.95,1559.39,1642.64,1420,1439.23,1451.13,1460.75,1470.37,1484.06,1501.5,1520.73,1551.87
NATIONALUM,128.1,90.1,100.86,107.52,112.9,118.28,125.94,~~~*~~~,146.46,163.88,102.3,110.18,115.06,119,122.94,128.55,~~~*~~~,143.58,156.34
NAUKRI,5246.15,4520.5,4708.96,4825.55,4919.77,5014,5148.16,~~~*~~~,5507.51,5812.55,4884.1,4986.75,5050.25,5101.58,5152.9,5225.97,~~~*~~~,5421.7,5587.85
NAVINFLUOR,3822.65,3585.1,3678.17,3735.74,3782.27,3828.81,3895.06,~~~*~~~,4072.52,4223.16,3680.2,3750.82,3794.51,3829.82,3865.14,3915.41,~~~*~~~,4050.07,4164.39
NESTLEIND,2666.4,2388.31,2453.61,2494.01,2526.65,2559.3,2605.79,~~~*~~~,2730.3,2835.99,2422,2479.35,2514.83,2543.5,2572.17,2613,~~~*~~~,2722.35,2815.17
NMDC,222.7,166.75,177.58,184.28,189.7,195.12,202.83,~~~*~~~,223.48,241.02,179.9,187.63,192.41,196.28,200.14,205.64,~~~*~~~,220.38,232.89
NTPC,314.95,245.95,262.36,272.52,280.73,288.93,300.62,~~~*~~~,331.91,358.48,293.2,298.46,301.72,304.35,306.98,310.73,~~~*~~~,320.76,329.28
OBEROIRLTY,1518.65,1247.95,1308.04,1345.21,1375.25,1405.29,1448.07,~~~*~~~,1562.64,1659.89,1355,1389.82,1411.36,1428.78,1446.19,1470.97,~~~*~~~,1537.37,1593.74
